Sr No,Name,Symbol,Date,Day,DDay,Month,Year,High,Low,Open,Close,Volume,Marketcap
1,Bitcoin,BTC,1/1/2018,1,1-Jan,Jan,2018,14112.2002,13154.7002,14112.2002,13657.2002,10291200000,2.29E+11
2,Bitcoin,BTC,1/2/2018,2,2-Jan,Jan,2018,15444.59961,13163.59961,13625,14982.09961,16846600192,2.51E+11
3,Bitcoin,BTC,1/3/2018,3,3-Jan,Jan,2018,15572.7998,14844.5,14978.2002,15201,16871900160,2.55E+11
4,Bitcoin,BTC,1/4/2018,4,4-Jan,Jan,2018,15739.7002,14522.2002,15270.7002,15599.2002,21783199744,2.62E+11
5,Bitcoin,BTC,1/5/2018,5,5-Jan,Jan,2018,17705.19922,15202.7998,15477.2002,17429.5,23840899072,2.93E+11
6,Bitcoin,BTC,1/6/2018,6,6-Jan,Jan,2018,17712.40039,16764.59961,17462.09961,17527,18314600448,2.94E+11
7,Bitcoin,BTC,1/7/2018,7,7-Jan,Jan,2018,17579.59961,16087.7002,17527.30078,16477.59961,15866000384,2.77E+11
8,Bitcoin,BTC,1/8/2018,8,8-Jan,Jan,2018,16537.90039,14208.2002,16476.19922,15170.09961,18413899776,2.55E+11
9,Bitcoin,BTC,1/9/2018,9,9-Jan,Jan,2018,15497.5,14424,15123.7002,14595.40039,16659999744,2.45E+11
10,Bitcoin,BTC,1/10/2018,10,10-Jan,Jan,2018,14973.2998,13691.2002,14588.5,14973.2998,18500800512,2.51E+11
11,Bitcoin,BTC,1/11/2018,11,11-Jan,Jan,2018,15018.7998,13105.90039,14968.2002,13405.7998,16534099968,2.25E+11
12,Bitcoin,BTC,1/12/2018,12,12-Jan,Jan,2018,14229.90039,13158.09961,13453.90039,13980.59961,12065699840,2.35E+11
13,Bitcoin,BTC,1/13/2018,13,13-Jan,Jan,2018,14659.5,13952.40039,13952.40039,14360.2002,12763599872,2.41E+11
14,Bitcoin,BTC,1/14/2018,14,14-Jan,Jan,2018,14511.7998,13268,14370.7998,13772,11084099584,2.31E+11
15,Bitcoin,BTC,1/15/2018,15,15-Jan,Jan,2018,14445.5,13641.7002,13767.2998,13819.7998,12750799872,2.32E+11
16,Bitcoin,BTC,1/16/2018,16,16-Jan,Jan,2018,13843.09961,10194.90039,13836.09961,11490.5,18853799936,1.93E+11
17,Bitcoin,BTC,1/17/2018,17,17-Jan,Jan,2018,11678,9402.290039,11431.09961,11188.59961,18830600192,1.88E+11
18,Bitcoin,BTC,1/18/2018,18,18-Jan,Jan,2018,12107.2998,10942.5,11198.7998,11474.90039,15020399616,1.93E+11
19,Bitcoin,BTC,1/19/2018,19,19-Jan,Jan,2018,11992.7998,11172.09961,11429.7998,11607.40039,10740400128,1.95E+11
20,Bitcoin,BTC,1/20/2018,20,20-Jan,Jan,2018,13103,11656.2002,11656.2002,12899.2002,11801700352,2.17E+11
21,Bitcoin,BTC,1/21/2018,21,21-Jan,Jan,2018,12895.90039,11288.2002,12889.2002,11600.09961,9935179776,1.95E+11
22,Bitcoin,BTC,1/22/2018,22,22-Jan,Jan,2018,11966.40039,10240.2002,11633.09961,10931.40039,10537400320,1.84E+11
23,Bitcoin,BTC,1/23/2018,23,23-Jan,Jan,2018,11377.59961,10129.7002,10944.5,10868.40039,9660609536,1.83E+11
24,Bitcoin,BTC,1/24/2018,24,24-Jan,Jan,2018,11501.40039,10639.7998,10903.40039,11359.40039,9940989952,1.91E+11
25,Bitcoin,BTC,1/25/2018,25,25-Jan,Jan,2018,11785.7002,11057.40039,11421.7002,11259.40039,8873169920,1.89E+11
26,Bitcoin,BTC,1/26/2018,26,26-Jan,Jan,2018,11656.7002,10470.2998,11256,11171.40039,9746199552,1.88E+11
27,Bitcoin,BTC,1/27/2018,27,27-Jan,Jan,2018,11614.90039,10989.2002,11174.90039,11440.7002,7583269888,1.93E+11
28,Bitcoin,BTC,1/28/2018,28,28-Jan,Jan,2018,12040.2998,11475.2998,11475.2998,11786.2998,8350360064,1.98E+11
29,Bitcoin,BTC,1/29/2018,29,29-Jan,Jan,2018,11875.59961,11179.2002,11755.5,11296.40039,7107359744,1.90E+11
30,Bitcoin,BTC,1/30/2018,30,30-Jan,Jan,2018,11307.2002,10036.2002,11306.7998,10106.2998,8637859840,1.70E+11
31,Bitcoin,BTC,1/31/2018,31,31-Jan,Jan,2018,10381.59961,9777.419922,10108.2002,10221.09961,8041160192,1.72E+11
32,Bitcoin,BTC,2/1/2018,1,1-Feb,Feb,2018,10288.7998,8812.280273,10237.2998,9170.540039,9959400448,1.54E+11
33,Bitcoin,BTC,2/2/2018,2,2-Feb,Feb,2018,9142.280273,7796.490234,9142.280273,8830.75,12726899712,1.49E+11
34,Bitcoin,BTC,2/3/2018,3,3-Feb,Feb,2018,9430.75,8251.629883,8852.120117,9174.910156,7263790080,1.55E+11
35,Bitcoin,BTC,2/4/2018,4,4-Feb,Feb,2018,9334.870117,8031.220215,9175.700195,8277.009766,7073549824,1.39E+11
36,Bitcoin,BTC,2/5/2018,5,5-Feb,Feb,2018,8364.839844,6756.680176,8270.540039,6955.27002,9285289984,1.17E+11
37,Bitcoin,BTC,2/6/2018,6,6-Feb,Feb,2018,7850.700195,6048.259766,7051.75,7754,13999800320,1.31E+11
38,Bitcoin,BTC,2/7/2018,7,7-Feb,Feb,2018,8509.110352,7236.790039,7755.490234,7621.299805,9169280000,1.28E+11
39,Bitcoin,BTC,2/8/2018,8,8-Feb,Feb,2018,8558.769531,7637.859863,7637.859863,8265.589844,9346750464,1.39E+11
40,Bitcoin,BTC,2/9/2018,9,9-Feb,Feb,2018,8736.980469,7884.709961,8271.839844,8736.980469,6784820224,1.47E+11
41,Bitcoin,BTC,2/10/2018,10,10-Feb,Feb,2018,9122.549805,8295.469727,8720.080078,8621.900391,7780960256,1.45E+11
42,Bitcoin,BTC,2/11/2018,11,11-Feb,Feb,2018,8616.129883,7931.100098,8616.129883,8129.970215,6122189824,1.37E+11
43,Bitcoin,BTC,2/12/2018,12,12-Feb,Feb,2018,8985.919922,8141.430176,8141.430176,8926.570313,6256439808,1.51E+11
44,Bitcoin,BTC,2/13/2018,13,13-Feb,Feb,2018,8958.469727,8455.410156,8926.719727,8598.30957,5696719872,1.45E+11
45,Bitcoin,BTC,2/14/2018,14,14-Feb,Feb,2018,9518.540039,8599.919922,8599.919922,9494.629883,7909819904,1.60E+11
46,Bitcoin,BTC,2/15/2018,15,15-Feb,Feb,2018,10234.7998,9395.580078,9488.320313,10166.40039,9062540288,1.71E+11
47,Bitcoin,BTC,2/16/2018,16,16-Feb,Feb,2018,10324.09961,9824.820313,10135.7002,10233.90039,7296159744,1.73E+11
48,Bitcoin,BTC,2/17/2018,17,17-Feb,Feb,2018,11139.5,10149.40039,10207.5,11112.7002,8660880384,1.87E+11
49,Bitcoin,BTC,2/18/2018,18,18-Feb,Feb,2018,11349.7998,10326,11123.40039,10551.7998,8744009728,1.78E+11
50,Bitcoin,BTC,2/19/2018,19,19-Feb,Feb,2018,11273.7998,10513.2002,10552.59961,11225.2998,7652089856,1.89E+11
51,Bitcoin,BTC,2/20/2018,20,20-Feb,Feb,2018,11958.5,11231.7998,11231.7998,11403.7002,9926540288,1.92E+11
52,Bitcoin,BTC,2/21/2018,21,21-Feb,Feb,2018,11418.5,10479.09961,11372.2002,10690.40039,9405339648,1.80E+11
53,Bitcoin,BTC,2/22/2018,22,22-Feb,Feb,2018,11039.09961,9939.089844,10660.40039,10005,8040079872,1.69E+11
54,Bitcoin,BTC,2/23/2018,23,23-Feb,Feb,2018,10487.2998,9734.55957,9937.070313,10301.09961,7739500032,1.74E+11
